"","Model","Protected_Var","Group","Reference_Group","Group_Status","n_group","n_reference","events_group","events_reference","prevalence_group","prevalence_reference","AUC_group","AUC_reference","AUC_parity_group_over_reference","PR_AUC_group","PR_AUC_reference","PR_AUC_parity_group_over_reference","ECE_group","ECE_reference","ECE_parity_group_over_reference","xAUC_group_positive_vs_reference_negative","xAUC_reference_positive_vs_group_negative","xAUC_parity_group_over_reference","xAUC_abs_gap"
"1","M1_ALC_related_vs_non_ALC","Sex","F","M","Equity-seeking/comparison",31789,30080,10294,8080,0.323822705967473,0.268617021276596,0.854310419514155,0.861951046354635,0.991135660345453,0.737490196111562,0.703021428739862,1.04902946903551,0.123184138989166,0.121151543007257,1.01677730164598,0.881689744246428,0.831668917938549,1.06014511932448,0.0500208263078789
"2","M1_ALC_related_vs_non_ALC","Age",">80","<80","Equity-seeking/comparison",29299,32570,10279,8095,0.350831086385201,0.248541602701873,0.833071193818643,0.877389417419926,0.949488536422508,0.735472071303149,0.705762110323158,1.04209628222516,0.133322829780198,0.112186472774176,1.18840379310764,0.893353739155598,0.81133878125753,1.10108595791631,0.0820149578980677
"3","M1_ALC_related_vs_non_ALC","Income","1","0","Equity-seeking/comparison",13513,48356,4366,14008,0.323096277658551,0.289684837455538,0.853583859415168,0.860099216624921,0.992424877172521,0.736678433436598,0.718326739989308,1.02554783558185,0.125448083912657,0.121287100878344,1.03430688840099,0.87007795797171,0.842647163403854,1.03255312040338,0.0274307945678554
"4","M1_ALC_related_vs_non_ALC","Region","east","central","Equity-seeking/comparison",13304,11928,3546,3317,0.266536380036079,0.278085177733065,0.867019953951619,0.857519532388532,1.01107895646018,0.718490505595969,0.699400306349495,1.02729509706125,0.119669304821666,0.121741681680003,0.982977261117641,0.854187540523693,0.870403715652897,0.981369363621064,0.0162161751292041
"5","M1_ALC_related_vs_non_ALC","Region","west","central","Equity-seeking/comparison",19768,11928,5994,3317,0.303217320922703,0.278085177733065,0.854632147756875,0.857519532388532,0.996632864299179,0.715362952077642,0.699400306349495,1.0228233324796,0.122745346489323,0.121741681680003,1.0082442167339,0.864360780088725,0.847237101407759,1.02021120020891,0.0171236786809659
"6","M1_ALC_related_vs_non_ALC","Region","Toronto","central","Equity-seeking/comparison",11513,11928,3502,3317,0.304177885868149,0.278085177733065,0.853966929110394,0.857519532388532,0.995857116783985,0.711623152207069,0.699400306349495,1.01747618030277,0.124448295772779,0.121741681680003,1.02223243555884,0.865124801190301,0.845586338982873,1.02310640712447,0.0195384622074279
"7","M1_ALC_related_vs_non_ALC","Region","northeast","central","Equity-seeking/comparison",3918,11928,1356,3317,0.346094946401225,0.278085177733065,0.848292436080772,0.857519532388532,0.989239782932922,0.759067680920078,0.699400306349495,1.08531219393085,0.131862430094141,0.121741681680003,1.08313297692683,0.878986677190354,0.821838954671803,1.06953640028097,0.0571477225185509
"8","M1_ALC_related_vs_non_ALC","Region","northwest","central","Equity-seeking/comparison",1432,11928,656,3317,0.458100558659218,0.278085177733065,0.876363307769676,0.857519532388532,1.02197474771059,0.859491160156989,0.699400306349495,1.22889731725038,0.097652219580862,0.121741681680003,0.802126422382925,0.914360106613492,0.802390605720608,1.1395448801302,0.111969500892884
"9","M1_ALC_related_vs_non_ALC","Rurality","Y","N","Equity-seeking/comparison",9328,52541,2571,15803,0.275621783876501,0.30077463314364,0.855137507542922,0.859280853991001,0.995178123160972,0.706891947333034,0.725163986007089,0.974802887310131,0.122888886607268,0.12207288543637,1.00668454069862,0.841856319451842,0.872128660572548,0.965289133944031,0.0302723411207054
"10","M1_ALC_related_vs_non_ALC","Residential_Instability","1","0","Equity-seeking/comparison",23089,38780,7162,11212,0.310191000043311,0.289118102114492,0.85410331804454,0.861548524697546,0.991358343216223,0.731128928510954,0.717189309903465,1.01943645619783,0.124592195775747,0.12076920576892,1.03165533781966,0.865440180675627,0.849915981945901,1.01826556866737,0.0155241987297253
