"model","positive_class","threshold","n","auc","recall","precision","specificity","accuracy","f1","tp","fp","fn","tn","predicted_positive_n","predicted_positive_pct"
"Model 1: ALC-related vs non-ALC","ALC-related",0.05,61869,0.8588,0.9973,0.3485,0.2123,0.4455,0.5165,18324,34259,50,9236,52583,84.99
"Model 1: ALC-related vs non-ALC","ALC-related",0.06,61869,0.8588,0.9962,0.3545,0.2338,0.4602,0.5229,18304,33325,70,10170,51629,83.45
"Model 1: ALC-related vs non-ALC","ALC-related",0.07,61869,0.8588,0.9953,0.3604,0.254,0.4741,0.5292,18287,32449,87,11046,50736,82.01
"Model 1: ALC-related vs non-ALC","ALC-related",0.08,61869,0.8588,0.9939,0.3658,0.2719,0.4864,0.5347,18262,31667,112,11828,49929,80.7
"Model 1: ALC-related vs non-ALC","ALC-related",0.09,61869,0.8588,0.9924,0.3711,0.2894,0.4982,0.5401,18234,30907,140,12588,49141,79.43
"Model 1: ALC-related vs non-ALC","ALC-related",0.1,61869,0.8588,0.9905,0.3763,0.3064,0.5096,0.5454,18199,30167,175,13328,48366,78.17
"Model 1: ALC-related vs non-ALC","ALC-related",0.11,61869,0.8588,0.9884,0.3815,0.3231,0.5207,0.5505,18160,29441,214,14054,47601,76.94
"Model 1: ALC-related vs non-ALC","ALC-related",0.12,61869,0.8588,0.9861,0.3862,0.3379,0.5304,0.555,18119,28798,255,14697,46917,75.83
"Model 1: ALC-related vs non-ALC","ALC-related",0.13,61869,0.8588,0.9836,0.391,0.3528,0.5401,0.5596,18073,28151,301,15344,46224,74.71
"Model 1: ALC-related vs non-ALC","ALC-related",0.14,61869,0.8588,0.9812,0.3955,0.3666,0.5491,0.5638,18029,27551,345,15944,45580,73.67
"Model 1: ALC-related vs non-ALC","ALC-related",0.15,61869,0.8588,0.9791,0.4006,0.3811,0.5587,0.5686,17990,26919,384,16576,44909,72.59
"Model 1: ALC-related vs non-ALC","ALC-related",0.16,61869,0.8588,0.9769,0.4055,0.395,0.5678,0.5731,17950,26315,424,17180,44265,71.55
"Model 1: ALC-related vs non-ALC","ALC-related",0.17,61869,0.8588,0.9739,0.4106,0.4095,0.5771,0.5777,17894,25682,480,17813,43576,70.43
"Model 1: ALC-related vs non-ALC","ALC-related",0.18,61869,0.8588,0.9715,0.4157,0.4231,0.5859,0.5822,17851,25094,523,18401,42945,69.41
"Model 1: ALC-related vs non-ALC","ALC-related",0.19,61869,0.8588,0.9687,0.4206,0.4362,0.5944,0.5865,17799,24522,575,18973,42321,68.4
"Model 1: ALC-related vs non-ALC","ALC-related",0.2,61869,0.8588,0.9648,0.4254,0.4495,0.6025,0.5904,17727,23946,647,19549,41673,67.36
"Model 1: ALC-related vs non-ALC","ALC-related",0.21,61869,0.8588,0.9614,0.4298,0.4613,0.6098,0.594,17664,23432,710,20063,41096,66.42
"Model 1: ALC-related vs non-ALC","ALC-related",0.22,61869,0.8588,0.9578,0.4345,0.4734,0.6172,0.5978,17598,22906,776,20589,40504,65.47
"Model 1: ALC-related vs non-ALC","ALC-related",0.23,61869,0.8588,0.9544,0.4391,0.4851,0.6244,0.6015,17536,22397,838,21098,39933,64.54
"Model 1: ALC-related vs non-ALC","ALC-related",0.24,61869,0.8588,0.9507,0.4437,0.4966,0.6314,0.6051,17468,21897,906,21598,39365,63.63
"Model 1: ALC-related vs non-ALC","ALC-related",0.25,61869,0.8588,0.9466,0.4484,0.5081,0.6383,0.6086,17393,21394,981,22101,38787,62.69
"Model 1: ALC-related vs non-ALC","ALC-related",0.26,61869,0.8588,0.9418,0.4527,0.519,0.6445,0.6115,17305,20923,1069,22572,38228,61.79
"Model 1: ALC-related vs non-ALC","ALC-related",0.27,61869,0.8588,0.9385,0.4577,0.5302,0.6515,0.6153,17244,20434,1130,23061,37678,60.9
"Model 1: ALC-related vs non-ALC","ALC-related",0.28,61869,0.8588,0.9339,0.4621,0.5408,0.6575,0.6183,17160,19975,1214,23520,37135,60.02
"Model 1: ALC-related vs non-ALC","ALC-related",0.29,61869,0.8588,0.9291,0.4669,0.5519,0.6639,0.6215,17072,19490,1302,24005,36562,59.1
"Model 1: ALC-related vs non-ALC","ALC-related",0.3,61869,0.8588,0.9251,0.4722,0.5632,0.6707,0.6252,16998,19000,1376,24495,35998,58.18
"Model 1: ALC-related vs non-ALC","ALC-related",0.31,61869,0.8588,0.9203,0.4773,0.5743,0.677,0.6286,16909,18516,1465,24979,35425,57.26
"Model 1: ALC-related vs non-ALC","ALC-related",0.32,61869,0.8588,0.9152,0.4822,0.5848,0.6829,0.6316,16816,18060,1558,25435,34876,56.37
"Model 1: ALC-related vs non-ALC","ALC-related",0.33,61869,0.8588,0.9105,0.4873,0.5953,0.6889,0.6348,16730,17604,1644,25891,34334,55.49
"Model 1: ALC-related vs non-ALC","ALC-related",0.34,61869,0.8588,0.9048,0.4925,0.6061,0.6948,0.6378,16625,17132,1749,26363,33757,54.56
"Model 1: ALC-related vs non-ALC","ALC-related",0.35,61869,0.8588,0.8993,0.4975,0.6163,0.7003,0.6406,16523,16690,1851,26805,33213,53.68
"Model 1: ALC-related vs non-ALC","ALC-related",0.36,61869,0.8588,0.8933,0.5018,0.6254,0.705,0.6427,16414,16293,1960,27202,32707,52.86
"Model 1: ALC-related vs non-ALC","ALC-related",0.37,61869,0.8588,0.8874,0.5063,0.6345,0.7096,0.6448,16305,15898,2069,27597,32203,52.05
"Model 1: ALC-related vs non-ALC","ALC-related",0.38,61869,0.8588,0.8822,0.5117,0.6444,0.715,0.6477,16210,15468,2164,28027,31678,51.2
"Model 1: ALC-related vs non-ALC","ALC-related",0.39,61869,0.8588,0.8764,0.5169,0.654,0.7201,0.6503,16103,15048,2271,28447,31151,50.35
"Model 1: ALC-related vs non-ALC","ALC-related",0.4,61869,0.8588,0.8695,0.5214,0.6628,0.7242,0.6519,15977,14667,2397,28828,30644,49.53
"Model 1: ALC-related vs non-ALC","ALC-related",0.41,61869,0.8588,0.8623,0.526,0.6718,0.7284,0.6534,15844,14276,2530,29219,30120,48.68
"Model 1: ALC-related vs non-ALC","ALC-related",0.42,61869,0.8588,0.8563,0.5311,0.6806,0.7328,0.6556,15734,13893,2640,29602,29627,47.89
"Model 1: ALC-related vs non-ALC","ALC-related",0.43,61869,0.8588,0.8492,0.5362,0.6897,0.7371,0.6574,15603,13495,2771,30000,29098,47.03
"Model 1: ALC-related vs non-ALC","ALC-related",0.44,61869,0.8588,0.8428,0.5421,0.6993,0.7419,0.6598,15485,13079,2889,30416,28564,46.17
"Model 1: ALC-related vs non-ALC","ALC-related",0.45,61869,0.8588,0.8345,0.5472,0.7083,0.7458,0.661,15333,12686,3041,30809,28019,45.29
"Model 1: ALC-related vs non-ALC","ALC-related",0.46,61869,0.8588,0.8276,0.5525,0.7168,0.7497,0.6626,15206,12318,3168,31177,27524,44.49
"Model 1: ALC-related vs non-ALC","ALC-related",0.47,61869,0.8588,0.8203,0.5568,0.7242,0.7528,0.6634,15072,11995,3302,31500,27067,43.75
"Model 1: ALC-related vs non-ALC","ALC-related",0.48,61869,0.8588,0.8126,0.5623,0.7328,0.7565,0.6646,14930,11624,3444,31871,26554,42.92
"Model 1: ALC-related vs non-ALC","ALC-related",0.49,61869,0.8588,0.805,0.5682,0.7415,0.7604,0.6662,14791,11242,3583,32253,26033,42.08
"Model 1: ALC-related vs non-ALC","ALC-related",0.5,61869,0.8588,0.7979,0.5745,0.7503,0.7645,0.668,14660,10859,3714,32636,25519,41.25
"Model 1: ALC-related vs non-ALC","ALC-related",0.51,61869,0.8588,0.7895,0.5795,0.758,0.7673,0.6684,14506,10527,3868,32968,25033,40.46
"Model 1: ALC-related vs non-ALC","ALC-related",0.52,61869,0.8588,0.7797,0.584,0.7653,0.7696,0.6678,14327,10207,4047,33288,24534,39.65
"Model 1: ALC-related vs non-ALC","ALC-related",0.53,61869,0.8588,0.7701,0.5889,0.7729,0.7721,0.6675,14150,9876,4224,33619,24026,38.83
"Model 1: ALC-related vs non-ALC","ALC-related",0.54,61869,0.8588,0.7612,0.5947,0.7808,0.775,0.6677,13987,9533,4387,33962,23520,38.02
"Model 1: ALC-related vs non-ALC","ALC-related",0.55,61869,0.8588,0.7528,0.6003,0.7883,0.7778,0.668,13832,9208,4542,34287,23040,37.24
"Model 1: ALC-related vs non-ALC","ALC-related",0.56,61869,0.8588,0.7429,0.6057,0.7957,0.78,0.6673,13650,8887,4724,34608,22537,36.43
"Model 1: ALC-related vs non-ALC","ALC-related",0.57,61869,0.8588,0.7332,0.6113,0.8031,0.7823,0.6667,13471,8564,4903,34931,22035,35.62
"Model 1: ALC-related vs non-ALC","ALC-related",0.58,61869,0.8588,0.7243,0.6172,0.8102,0.7847,0.6665,13308,8254,5066,35241,21562,34.85
"Model 1: ALC-related vs non-ALC","ALC-related",0.59,61869,0.8588,0.7133,0.6237,0.8182,0.7871,0.6655,13106,7906,5268,35589,21012,33.96
"Model 1: ALC-related vs non-ALC","ALC-related",0.6,61869,0.8588,0.7007,0.6289,0.8254,0.7883,0.6629,12875,7596,5499,35899,20471,33.09
"Model 1: ALC-related vs non-ALC","ALC-related",0.61,61869,0.8588,0.6918,0.636,0.8327,0.7909,0.6628,12712,7275,5662,36220,19987,32.31
"Model 1: ALC-related vs non-ALC","ALC-related",0.62,61869,0.8588,0.6803,0.6422,0.8399,0.7925,0.6607,12500,6965,5874,36530,19465,31.46
